fi_team_id,canonical_name,source,source_team_id,team_name
FI_TEAM_000001,Albania,statsbomb,906,Albania
FI_TEAM_000002,Algeria,statsbomb,4898,Algeria
FI_TEAM_000003,Angola,statsbomb,4901,Angola
FI_TEAM_000004,Argentina,statsbomb,779,Argentina
FI_TEAM_000005,Australia,statsbomb,792,Australia
FI_TEAM_000006,Austria,statsbomb,915,Austria
FI_TEAM_000007,Belgium,statsbomb,782,Belgium
FI_TEAM_000008,Bolivia,statsbomb,3564,Bolivia
FI_TEAM_000009,Brazil,statsbomb,781,Brazil
FI_TEAM_000010,Burkina Faso,statsbomb,4921,Burkina Faso
FI_TEAM_000011,Cameroon,statsbomb,2722,Cameroon
FI_TEAM_000012,Canada,statsbomb,1833,Canada
FI_TEAM_000013,Cape Verde Islands,statsbomb,4924,Cape Verde Islands
FI_TEAM_000014,Chile,statsbomb,3562,Chile
FI_TEAM_000015,Colombia,statsbomb,769,Colombia
FI_TEAM_000016,Congo DR,statsbomb,4881,Congo DR
FI_TEAM_000017,Costa Rica,statsbomb,795,Costa Rica
FI_TEAM_000018,Croatia,statsbomb,785,Croatia
FI_TEAM_000019,Czech Republic,statsbomb,912,Czech Republic
FI_TEAM_000020,Czechoslovakia,statsbomb,17469,Czechoslovakia
FI_TEAM_000021,Côte d'Ivoire,statsbomb,3374,Côte d'Ivoire
FI_TEAM_000022,Denmark,statsbomb,776,Denmark
FI_TEAM_000023,Ecuador,statsbomb,3565,Ecuador
FI_TEAM_000024,Egypt,statsbomb,774,Egypt
FI_TEAM_000025,England,statsbomb,768,England
FI_TEAM_000026,Equatorial Guinea,statsbomb,4992,Equatorial Guinea
FI_TEAM_000027,Finland,statsbomb,1835,Finland
FI_TEAM_000028,France,statsbomb,771,France
FI_TEAM_000029,Gambia,statsbomb,4934,Gambia
FI_TEAM_000030,Georgia,statsbomb,2138,Georgia
FI_TEAM_000031,German DR,statsbomb,2721,German DR
FI_TEAM_000032,Germany,statsbomb,770,Germany
FI_TEAM_000033,Ghana,statsbomb,4885,Ghana
FI_TEAM_000034,Guinea,statsbomb,4892,Guinea
FI_TEAM_000035,Guinea-Bissau,statsbomb,4894,Guinea-Bissau
FI_TEAM_000036,Hungary,statsbomb,916,Hungary
FI_TEAM_000037,Iceland,statsbomb,793,Iceland
FI_TEAM_000038,Iran,statsbomb,797,Iran
FI_TEAM_000039,Italy,statsbomb,914,Italy
FI_TEAM_000040,Jamaica,statsbomb,2305,Jamaica
FI_TEAM_000041,Japan,statsbomb,778,Japan
FI_TEAM_000042,Mali,statsbomb,4930,Mali
FI_TEAM_000043,Mauritania,statsbomb,4932,Mauritania
FI_TEAM_000044,Mexico,statsbomb,794,Mexico
FI_TEAM_000045,Morocco,statsbomb,788,Morocco
FI_TEAM_000046,Mozambique,statsbomb,4978,Mozambique
FI_TEAM_000047,Namibia,statsbomb,4980,Namibia
FI_TEAM_000048,Netherlands,statsbomb,941,Netherlands
FI_TEAM_000049,Nigeria,statsbomb,775,Nigeria
FI_TEAM_000050,North Macedonia,statsbomb,2358,North Macedonia
FI_TEAM_000051,Panama,statsbomb,798,Panama
FI_TEAM_000052,Paraguay,statsbomb,3567,Paraguay
FI_TEAM_000053,Peru,statsbomb,784,Peru
FI_TEAM_000054,Poland,statsbomb,789,Poland
FI_TEAM_000055,Portugal,statsbomb,780,Portugal
FI_TEAM_000056,Qatar,statsbomb,3566,Qatar
FI_TEAM_000057,Romania,statsbomb,905,Romania
FI_TEAM_000058,Russia,statsbomb,796,Russia
FI_TEAM_000059,Saudi Arabia,statsbomb,799,Saudi Arabia
FI_TEAM_000060,Scotland,statsbomb,942,Scotland
FI_TEAM_000061,Senegal,statsbomb,787,Senegal
FI_TEAM_000062,Serbia,statsbomb,786,Serbia
FI_TEAM_000063,Slovakia,statsbomb,908,Slovakia
FI_TEAM_000064,Slovenia,statsbomb,944,Slovenia
FI_TEAM_000065,South Africa,statsbomb,4976,South Africa
FI_TEAM_000066,South Korea,statsbomb,791,South Korea
FI_TEAM_000067,Spain,statsbomb,772,Spain
FI_TEAM_000068,Sweden,statsbomb,790,Sweden
FI_TEAM_000069,Switzerland,statsbomb,773,Switzerland
FI_TEAM_000070,Tanzania,statsbomb,4953,Tanzania
FI_TEAM_000071,Tunisia,statsbomb,777,Tunisia
FI_TEAM_000072,Turkey,statsbomb,909,Turkey
FI_TEAM_000073,Ukraine,statsbomb,911,Ukraine
FI_TEAM_000074,United States,statsbomb,1839,United States
FI_TEAM_000075,Uruguay,statsbomb,783,Uruguay
FI_TEAM_000076,Venezuela,statsbomb,3563,Venezuela
FI_TEAM_000077,Wales,statsbomb,907,Wales
FI_TEAM_000078,Zambia,statsbomb,4963,Zambia
