competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
1267,107,Africa,African Cup of Nations,male,False,True,2023,2026-05-12T21:18:08.827431,2026-05-02T02:07:18.902396,2026-05-02T02:07:18.902396,2026-05-12T21:18:08.827431
223,282,South America,Copa America,male,False,True,2024,2026-05-13T12:24:48.807600,,,2026-05-13T12:24:48.807600
43,106,International,FIFA World Cup,male,False,True,2022,2026-05-04T01:48:57.914346,2026-05-04T01:53:40.309717,2026-05-04T01:53:40.309717,2026-05-04T01:48:57.914346
43,3,International,FIFA World Cup,male,False,True,2018,2026-05-15T15:48:12.789440,2021-06-13T16:17:31.694,,2026-05-15T15:48:12.789440
43,55,International,FIFA World Cup,male,False,True,1990,2023-06-28T10:58:20.137929,2021-06-12T16:17:31.694,,2023-06-28T10:58:20.137929
43,54,International,FIFA World Cup,male,False,True,1986,2026-05-04T01:30:23.212111,2021-06-13T16:17:31.694,,2026-05-04T01:30:23.212111
43,51,International,FIFA World Cup,male,False,True,1974,2026-05-15T02:20:43.439689,2021-06-13T16:17:31.694,,2026-05-15T02:20:43.439689
43,272,International,FIFA World Cup,male,False,True,1970,2026-05-04T02:09:10.916859,,,2026-05-04T02:09:10.916859
43,270,International,FIFA World Cup,male,False,True,1962,2026-05-04T02:05:35.653887,,,2026-05-04T02:05:35.653887
43,269,International,FIFA World Cup,male,False,True,1958,2026-05-04T02:02:41.853159,,,2026-05-04T02:02:41.853159
55,282,Europe,UEFA Euro,male,False,True,2024,2026-05-01T19:54:25.846072,2026-05-01T19:58:06.077979,2026-05-01T19:58:06.077979,2026-05-01T19:54:25.846072
55,43,Europe,UEFA Euro,male,False,True,2020,2026-05-10T12:59:26.302088,2026-05-10T13:00:25.564993,2026-05-10T13:00:25.564993,2026-05-10T12:59:26.302088
