competition_id,competition_name,country_name
2,Premier League,England
7,Ligue 1,France
9,1. Bundesliga,Germany
11,La Liga,Spain
12,Serie A,Italy
16,Champions League,Europe
35,UEFA Europa League,Europe
37,FA Women's Super League,England
43,FIFA World Cup,International
44,Major League Soccer,United States of America
49,NWSL,United States of America
53,UEFA Women's Euro,Europe
55,UEFA Euro,Europe
72,Women's World Cup,International
81,Liga Profesional,Argentina
87,Copa del Rey,Spain
116,North American League,North and Central America
131,Serie A Women,Italy
135,Frauen Bundesliga,Germany
182,Liga F,Spain
223,Copa America,South America
1238,Indian Super league,India
1267,African Cup of Nations,Africa
1470,FIFA U20 World Cup,International
1471,Bundesliga,Germany
